"gr_id","flag_id","fleet_id","yy","mm","mondate","dup_pac","ocean_id","vessel","alb_c","bet_c","skj_c","yft_c","pbf_c","oth_c","bum_c","blm_c","mls_c","swo_c","sfa_c","fal_c","ocs_c","mak_c","bsh_c","thr_c","por_c","ham_c","rhn_c","skj_lo","yft_lo","bet_lo","skj_hi","yft_hi","bet_hi","skj_un","yft_un","bet_un"
"S","JP","CS",1963,1,1963-01-01,FALSE,"WX",0,59,6,9592,2277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9592,2277,6,9592,2277,6
"L","JP","CS",1964,1,1964-01-01,FALSE,"WX",610,216,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","JP","DW",1964,1,1964-01-01,FALSE,"WX",1793,23558,28525,0,41507,0,0,9287,717,16628,5581,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","KR","  ",1964,1,1964-01-01,FALSE,"WX",16,1768,359,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","TW","DW",1964,1,1964-01-01,FALSE,"WX",12,523,76,5,139,0,0,19,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","TW","OD",1964,1,1964-01-01,FALSE,"WX",0,171,1650,0,2918,0,0,934,978,392,358,1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1964,1,1964-01-01,FALSE,"WX",31,4,379,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","ID","  ",1964,1,1964-01-01,FALSE,"WX",0,0,0,7667,2660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","JP","  ",1964,1,1964-01-01,FALSE,"WX",0,319,28,4120,867,3350,0,38,0,2364,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1964,1,1964-01-01,FALSE,"WX",0,0,0,5699,3141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","DW",1964,1,1964-01-01,FALSE,"WX",3829,23858,1143,136081,4933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","CS",1964,1,1964-01-01,FALSE,"WX",532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","PW","  ",1964,1,1964-01-01,FALSE,"WX",6,0,0,1025,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S","JP","CS",1964,1,1964-01-01,FALSE,"WX",0,128,231,25006,3647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25006,3647,231,25006,3647,231
"L","JP","CS",1965,1,1965-01-01,FALSE,"WX",696,268,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","JP","DW",1965,1,1965-01-01,FALSE,"WX",1696,22469,26293,0,39627,0,0,7247,1123,12939,7842,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
